IPK,SKS,Frekuensi Kehadiran,Jumlah MK Ulang,Keikutsertaan Organisasi,Kelulusan
2.75,141,79,3,0,1
3.9,148,91,0,1,1
3.46,141,84,3,1,1
3.2,113,56,2,0,0
2.31,139,65,0,1,0
2.31,146,75,0,1,1
2.12,132,97,3,1,0
3.73,148,98,2,0,1
3.2,124,51,0,0,1
3.42,138,50,3,0,1
2.04,145,97,2,1,0
3.94,122,61,3,1,1
3.66,141,54,1,1,0
2.42,116,86,0,0,0
2.36,131,81,1,1,0
2.37,137,58,2,1,0
2.61,111,90,1,1,1
3.05,115,84,1,1,1
2.86,137,68,2,0,0
2.58,137,97,3,0,1
3.22,129,65,1,1,0
2.28,139,52,3,0,0
2.58,120,69,1,0,0
2.73,137,73,3,1,0
2.91,134,82,2,1,0
3.57,148,73,1,0,1
2.4,142,60,2,1,0
3.03,110,98,1,0,0
3.18,136,57,2,1,0
2.09,122,85,2,0,0
3.22,112,87,1,1,0
2.34,148,89,1,0,1
2.13,115,69,1,0,0
3.9,117,84,0,0,0
3.93,136,97,3,1,0
3.62,118,74,0,0,0
2.61,146,84,0,0,1
2.2,142,74,2,1,0
3.37,133,78,1,1,1
2.88,124,67,3,0,0
2.24,141,95,2,0,0
2.99,141,67,0,1,1
2.07,133,51,1,1,0
3.82,121,84,2,1,0
2.52,148,65,1,1,1
3.33,111,90,2,1,0
2.62,112,85,1,0,1
3.04,146,82,0,1,1
3.09,126,53,3,0,0
2.37,111,82,0,0,0
3.94,111,63,3,0,0
3.55,137,70,1,1,1
3.88,132,97,2,0,1
3.79,146,69,0,0,1
3.2,141,57,3,1,1
3.84,142,56,0,0,1
2.18,110,52,3,0,0
2.39,128,66,0,1,0
2.09,111,82,3,0,0
2.65,135,97,3,0,0
2.78,141,61,1,0,1
2.54,115,71,3,1,0
3.66,141,71,1,1,1
2.71,113,95,3,1,0
2.56,120,79,2,0,0
3.09,126,87,2,0,1
2.28,147,87,2,1,1
3.6,133,94,3,0,0
2.15,114,57,1,0,1
3.97,143,76,1,1,0
3.54,115,76,3,1,0
2.4,131,83,2,0,0
2.01,120,70,2,0,0
3.63,125,79,1,0,0
3.41,142,82,2,1,0
3.46,118,77,0,1,0
3.54,115,96,1,1,0
2.15,125,82,2,1,1
2.72,138,54,1,0,1
2.23,112,97,0,1,0
3.73,129,68,1,1,1
3.25,145,53,1,1,1
2.66,128,84,1,1,1
2.13,135,98,1,1,0
2.62,112,66,0,0,1
2.65,128,93,3,0,0
3.46,129,77,1,1,1
3.28,141,79,1,0,1
3.77,116,78,2,1,0
2.94,142,95,1,1,1
2.24,149,55,2,0,0
3.43,148,84,3,0,1
3.52,127,90,0,1,1
3.12,149,86,0,1,1
3.54,110,73,3,1,0
2.99,120,78,0,0,0
3.05,137,98,3,1,1
2.86,134,95,3,1,1
2.05,132,80,3,1,0
2.22,140,84,0,0,1
2.99,120,78,0,0,0
2.99,120,78,0,0,0
2.99,120,78,0,0,0
2.99,120,78,0,0,0
2.99,120,78,,0,0
2.99,120,78,0,0,0
2.99,,78,0,0,0
2.99,120,,0,0,0
